name,user_id
"Asudeh, Abolfazl",cJXIgasAAAAJ
"Ayala, Daniel",mV9xDU0AAAAJ
"Bandy, Jack",H8b1zs4AAAAJ
"Bell, John",
"Bello, Gonzalo",
"Bernstein, Daniel J.",ToxxF5oAAAAJ
"Block, Alexander R",CKofM0IAAAAJ
"Boorboor, Saeed",xwoLr1sAAAAJ
"Burton, Emanuelle",
"Buy, Ugo",8sz_AGoAAAAJ
"Caragea, Cornelia",vkX6VV4AAAAJ
"Carson, Jordan",
"Chakraborti, Anrin",BUgPu4sAAAAJ
"Chattopadhyay, Debaleena",ONZL1lgAAAAJ
"Chen, Hao",kYK_9BEAAAAJ
"Cheng, Lu",9rpkTSkAAAAJ
"Clayville, Kristel",
"Cranch, Cody",
"Curry, Michael J",EOlowBUAAAAJ
"DasGupta, Bhaskar",fGcKnpIAAAAJ
"Dey, Drishika",
"Di Eugenio, Barbara",I4TkqC0AAAAJ
"Diaz, Diana",l_m8pKsAAAAJ
"Eriksson, Jakob",kLUW0psAAAAJ
"Franke, Baker",
"Glavic, Boris",lCdBR8cAAAAJ
"Gmytrasiewicz, Piotr",0fsCLwMAAAAJ
"Grechanik, Mark",Gn5kfF8AAAAJ
"Gu, Zhaochen",
"Hallenbeck, Mark",
"Hodges, Mark",
"Ibrahim, Omar",
"Johnson, Andrew",s8e4QnsAAAAJ
"Kanich, Chris",Zy1b3UAAAAAJ
"Kash, Ian",CxIxSBEAAAAJ
"Katok, Zoa",
"Kerne, Andruid",TD6dCG0AAAAJ
"Koehler, Adam",5n98y0sAAAAJ
"Kshemkalyani, Ajay",2jRpisYAAAAJ
"Kumar, Sidharth",TDHtzHcAAAAJ
"Lan, Zhiling",xnKWIjEAAAAJ
"Li, Baoxin",8OOBH04AAAAJ
"Lillis, John",3oyf5I4AAAAJ
"Liu, Bing",Kt1bjZoAAAAJ
"Luo, Wenhao",9huOSj4AAAAJ
"Mansky, William",BGmHzcAAAAJ
"Marai, G. Elisabeta",xPCVtawAAAAJ
"Maratos, George",YCG9JdIAAAAJ
"McCarty, Evan",
"Medya, Sourav",RCFhOM4AAAAJ
"Michaelis, Joseph E",4eFjSTIAAAAJ
"Miranda, Fabio",9fR0LqAAAAAJ
"Mordahl, Austin",z0ZKGfgAAAAJ
"Nelson, Peter",
"Papka, Michael E.",pQwfBFwAAAAJ
"Parde, Natalie",NmP-rOAAAAAJ
"Pina, Luis",EtfPm7EAAAAJ
"Polakis, Jason",OgJKomcAAAAJ
"Ravi, Sathya",FW-0thoAAAAJ
"Reckinger, Shanon",uo6wEwYAAAAJ
"Reckinger, Scott",
"Reda, Khairi",
"Reed, Dale",TVJUmxoAAAAJ
"Renambot, Luc",
"Riazi, Sara",9qMvVEwAAAAJ
"Rooshenas, Pedram",ncHbkrQAAAAJ
"Saha, Aadirupa",7a49tQYAAAAJ
"Sidiropoulos, Anastasios",YR_MYrAAAAAJ
"Sintos, Stavros",JxEXObgAAAAJ
"Sistla, Aravinda Prasad",P-wJ6Y4AAAAJ
"Sloan, Robert",2tUoA-wAAAAJ
"Solworth, Jon",
"Soni, Nikita",FL4uv6wAAAAJ
"Sun, Xiaorui",jq8VoFkAAAAJ
"Tang, Wei",GTYEV0cAAAAJ
"Theys, Mitchell",FLGkebgAAAAJ
"Thida, Myo",o4D2NtcAAAAJ
"Tizpaz-Niari, Saeid",eQnKAqsAAAAJ
"Troy, Patrick",
"Vamanan, Balajee",GKvAsQMAAAAJ
"Venkatakrishnan, Venkat",
"Wang, Xiaoguang",Sy-oJuIAAAAJ
"Wolfson, Ouri",zGSP_osAAAAJ
"Yadav, Shweta",dMK8VBkAAAAJ
"Yan, Yan",zhi-j1wAAAAJ
"Yu, Philip S.",D0lL1r0AAAAJ
"Zhang, Xinhua",jrkrn3sAAAAJ
"Zheleva, Elena",Ug7VoyQAAAAJ
"Zhu, Yifan",eyWZo6EAAAAJ
"Ziebart, Brian",_JjIgGcAAAAJ
"Zuck, Lenore",ve5gS08AAAAJ
